"Subjects","Valence","Noise","Neighbourhood","Socioeconomic","Sex"
14,"Positive",0.007623980344,"Colon","High","Female"
14,"Negative",0.02487426784,"Colon","High","Female"
14,"Negative",0.03504427702,"Colon","High","Female"
14,"Negative",0.03982986958,"Colon","High","Female"
14,"Negative",0.01388625432,"Colon","High","Female"
15,"Positive",0.02610546025,"Colon","High","Female"
15,"Positive",0.01694452891,"Colon","High","Female"
15,"Positive",0.01217775242,"Colon","High","Female"
15,"Negative",0.01171024847,"Colon","High","Female"
15,"Negative",0.01747870568,"Colon","High","Female"
15,"Positive",0.00993861809,"Colon","High","Female"
15,"Positive",0.02689077571,"Colon","High","Female"
15,"Positive",0.02644386251,"Colon","High","Female"
15,"Positive",0.02527423918,"Colon","High","Female"
15,"Positive",0.01446757473,"Colon","High","Female"
15,"Negative",0.00959580447,"Colon","High","Female"
15,"Positive",0.01918380169,"Colon","High","Female"
15,"Negative",0.02528513563,"Colon","High","Female"
15,"Negative",0.01563720909,"Colon","High","Female"
16,"Positive",0.01210447041,"Colon","High","Female"
16,"Negative",0.02230126971,"Colon","High","Female"
16,"Positive",0.01493067189,"Colon","High","Female"
16,"Negative",0.02002419945,"Colon","High","Female"
16,"Negative",0.01461777654,"Colon","High","Female"
16,"Negative",0.02226202873,"Colon","High","Female"
16,"Negative",0.01266065693,"Colon","High","Female"
16,"Positive",0.01446242577,"Colon","High","Female"
16,"Positive",0.01152438523,"Colon","High","Female"
16,"Positive",0.01061105044,"Colon","High","Female"
16,"Negative",0.01146501201,"Colon","High","Female"
16,"Positive",0.01419260585,"Colon","High","Female"
16,"Positive",0.008697463858,"Colon","High","Female"
16,"Positive",0.009894204679,"Colon","High","Female"
16,"Negative",0.02037146979,"Colon","High","Female"
16,"Negative",0.01833454363,"Colon","High","Female"
16,"Negative",0.04100651426,"Colon","High","Female"
16,"Negative",0.01758764213,"Colon","High","Female"
16,"Negative",0.02955584119,"Colon","High","Female"
16,"Negative",0.05121231616,"Colon","High","Female"
16,"Negative",0.03560902166,"Colon","High","Female"
17,"Positive",0.0204086925,"Colon","High","Male"
17,"Positive",0.01617459795,"Colon","High","Male"
17,"Positive",0.01386224782,"Colon","High","Male"
17,"Positive",0.00743856673,"Colon","High","Male"
17,"Positive",0.01086197117,"Colon","High","Male"
17,"Negative",0.01195847885,"Colon","High","Male"
17,"Positive",0.009145566111,"Colon","High","Male"
17,"Positive",0.006312808985,"Colon","High","Male"
17,"Negative",0.01324303946,"Colon","High","Male"
17,"Positive",0.004639293636,"Colon","High","Male"
17,"Positive",0.00482019231,"Colon","High","Male"
17,"Positive",0.0111672514,"Colon","High","Male"
17,"Negative",0.01036367313,"Colon","High","Male"
17,"Positive",0.01442515508,"Colon","High","Male"
17,"Negative",0.04465608042,"Colon","High","Male"
17,"Negative",0.0367938833,"Colon","High","Male"
17,"Negative",0.01454129951,"Colon","High","Male"
17,"Negative",0.03621903071,"Colon","High","Male"
18,"Positive",0.01140941188,"Colon","High","Male"
18,"Negative",0.01398158378,"Colon","High","Male"
18,"Positive",0.006668250975,"Colon","High","Male"
18,"Positive",0.015043963,"Colon","High","Male"
18,"Positive",0.02288745715,"Colon","High","Male"
18,"Negative",0.01547205026,"Colon","High","Male"
18,"Positive",0.01735595815,"Colon","High","Male"
18,"Negative",0.01619347177,"Colon","High","Male"
18,"Negative",0.0166816913,"Colon","High","Male"
18,"Positive",0.01550686904,"Colon","High","Male"
18,"Positive",0.01667446531,"Colon","High","Male"
18,"Positive",0.01951601192,"Colon","High","Male"
18,"Positive",0.007823181065,"Colon","High","Male"
18,"Positive",0.01093064506,"Colon","High","Male"
18,"Positive",0.003272628965,"Colon","High","Male"
18,"Negative",0.03447269659,"Colon","High","Male"
18,"Negative",0.01865560622,"Colon","High","Male"
18,"Positive",0.01474703308,"Colon","High","Male"
18,"Negative",0.02168866958,"Colon","High","Male"
18,"Positive",0.01456590157,"Colon","High","Male"
18,"Positive",0.03439254596,"Colon","High","Male"
18,"Positive",0.02384062837,"Colon","High","Male"
18,"Negative",0.02409220653,"Colon","High","Male"
19,"Negative",0.02229360783,"Bilbao","High","Male"
19,"Positive",0.02163107859,"Bilbao","High","Male"
19,"Positive",0.02415792299,"Bilbao","High","Male"
19,"Positive",0.009014669422,"Bilbao","High","Male"
19,"Positive",0.009100284536,"Bilbao","High","Male"
19,"Positive",0.01700738129,"Bilbao","High","Male"
19,"Positive",0.003842298564,"Bilbao","High","Male"
19,"Positive",0.0151823324,"Bilbao","High","Male"
19,"Positive",0.01046580198,"Bilbao","High","Male"
19,"Negative",0.01892247084,"Bilbao","High","Male"
19,"Negative",0.01547859257,"Bilbao","High","Male"
19,"Negative",0.01835190798,"Bilbao","High","Male"
19,"Negative",0.01824563679,"Bilbao","High","Male"
19,"Negative",0.02095564937,"Bilbao","High","Male"
19,"Negative",0.02422982969,"Bilbao","High","Male"
19,"Negative",0.07192577556,"Bilbao","High","Male"
19,"Negative",0.01472536516,"Bilbao","High","Male"
19,"Negative",0.03000215695,"Bilbao","High","Male"
20,"Positive",0.0321421852,"Bilbao","High","Male"
20,"Positive",0.03111769749,"Bilbao","High","Male"
20,"Positive",0.007728289691,"Bilbao","High","Male"
20,"Positive",0.009460152013,"Bilbao","High","Male"
20,"Positive",0.01738033388,"Bilbao","High","Male"
20,"Negative",0.01934150941,"Bilbao","High","Male"
20,"Positive",0.01088066995,"Bilbao","High","Male"
20,"Positive",0.004527523621,"Bilbao","High","Male"
20,"Positive",0.008903248024,"Bilbao","High","Male"
20,"Negative",0.008936677565,"Bilbao","High","Male"
20,"Positive",0.007737592092,"Bilbao","High","Male"
20,"Positive",0.01301360573,"Bilbao","High","Male"
20,"Negative",0.02398503639,"Bilbao","High","Male"
20,"Negative",0.02717632464,"Bilbao","High","Male"
20,"Positive",0.01619786422,"Bilbao","High","Male"
20,"Negative",0.01956762543,"Bilbao","High","Male"
20,"Negative",0.01324540724,"Bilbao","High","Male"
20,"Negative",0.03430871433,"Bilbao","High","Male"
20,"Negative",0.03410663104,"Bilbao","High","Male"
21,"Negative",0.03212002799,"Bilbao","High","Male"
21,"Positive",0.02644481264,"Bilbao","High","Male"
21,"Negative",0.01294363608,"Bilbao","High","Male"
21,"Positive",0.01281973405,"Bilbao","High","Male"
21,"Positive",0.01252348377,"Bilbao","High","Male"
21,"Positive",0.002863679149,"Bilbao","High","Male"
21,"Positive",0.004764227927,"Bilbao","High","Male"
21,"Positive",0.01620129174,"Bilbao","High","Male"
21,"Positive",0.01278104548,"Bilbao","High","Male"
21,"Negative",0.01174437542,"Bilbao","High","Male"
21,"Positive",0.02852531718,"Bilbao","High","Male"
21,"Positive",0.02485203084,"Bilbao","High","Male"
21,"Positive",0.02156015331,"Bilbao","High","Male"
21,"Positive",0.02151178115,"Bilbao","High","Male"
21,"Negative",0.02314123633,"Bilbao","High","Male"
21,"Positive",0.0406156381,"Bilbao","High","Male"
21,"Negative",0.0345360091,"Bilbao","High","Male"
21,"Positive",0.02285130346,"Bilbao","High","Male"
22,"Positive",0.01185260066,"Bilbao","High","Female"
22,"Positive",0.01621546407,"Bilbao","High","Female"
22,"Positive",0.01720182863,"Bilbao","High","Female"
22,"Positive",0.003617439216,"Bilbao","High","Female"
22,"Positive",0.01158500072,"Bilbao","High","Female"
22,"Negative",0.02211307428,"Bilbao","High","Female"
22,"Positive",0.01385645759,"Bilbao","High","Female"
22,"Positive",0.02112620146,"Bilbao","High","Female"
22,"Positive",0.02580967261,"Bilbao","High","Female"
22,"Negative",0.06487290643,"Bilbao","High","Female"
22,"Positive",0.01742378343,"Bilbao","High","Female"
22,"Negative",0.04993507915,"Bilbao","High","Female"
22,"Positive",0.05180084404,"Bilbao","High","Female"
23,"Positive",0.04025205264,"Bilbao","High","Female"
23,"Positive",0.02478207827,"Bilbao","High","Female"
23,"Positive",0.02984823518,"Bilbao","High","Female"
23,"Negative",0.01699260945,"Bilbao","High","Female"
23,"Negative",0.02580440407,"Bilbao","High","Female"
23,"Positive",0.01608127213,"Bilbao","High","Female"
23,"Negative",0.01934820903,"Bilbao","High","Female"
23,"Positive",0.03443109906,"Bilbao","High","Female"
23,"Positive",0.0117863895,"Bilbao","High","Female"
23,"Negative",0.01466158655,"Bilbao","High","Female"
23,"Positive",0.02126383619,"Bilbao","High","Female"
23,"Negative",0.0105987433,"Bilbao","High","Female"
23,"Positive",0.01605424292,"Bilbao","High","Female"
23,"Negative",0.004048772237,"Bilbao","High","Female"
23,"Negative",0.01060590487,"Bilbao","High","Female"
23,"Positive",0.005682472757,"Bilbao","High","Female"
23,"Negative",0.01165774914,"Bilbao","High","Female"
23,"Positive",0.02610292422,"Bilbao","High","Female"
23,"Negative",0.03385696376,"Bilbao","High","Female"
23,"Negative",0.01254161582,"Bilbao","High","Female"
23,"Negative",0.03556705218,"Bilbao","High","Female"
23,"Negative",0.04789959523,"Bilbao","High","Female"
23,"Negative",0.04670045382,"Bilbao","High","Female"
23,"Positive",0.03455449494,"Bilbao","High","Female"
23,"Positive",0.03184279977,"Bilbao","High","Female"
24,"Positive",0.01394762064,"Bilbao","High","Female"
24,"Negative",0.01759045948,"Bilbao","High","Female"
24,"Positive",0.02970641536,"Bilbao","High","Female"
24,"Negative",0.01405281329,"Bilbao","High","Female"
24,"Negative",0.01699255333,"Bilbao","High","Female"
24,"Negative",0.009145749205,"Bilbao","High","Female"
